variant,lemma
abalanzo,abalanzar
abandonado,abandonar
abandono,abandonar
abarrotado,abarrotar
aberracion,aberrante
abiertamente,abierto
abocada,abocar
abocado,abocar
abogada,abogar
abogado,abogar
abollado,abollar
abort,abortar
abortado,abortar
aborto,abortar
abraza,abrazar
abrazado,abrazar
abrazandolo,abrazar
abrazas,abrazar
abrazo,abrazar
abri,abriar
abria,abriar
abriamos,abriar
abrigado,abrigar
abrigo,abrigar
abrile,abril
abrimos,abrime
abrio,abriar
abrirar,abrir
abrochado,abrochar
abrochadora,abrochar
absolutamente,absoluto
absorbido,absorba
abstemio,abstemia
abstracto,abstracta
absurdo,absurda
abuelito,abuelita
abuelo,abuela
abuelos,abuela
aburr,aburrar
aburran,aburrar
aburri,aburriar
aburrida,aburrar
aburridisimo,aburridisima
aburrido,aburrar
aburrimiento,aburrar
aburrio,aburriar
aburrir,aburrar
aburriria,aburririar
acaba,acabar
acababamos,acababar
acabado,acabar
acabamos,acabar
acabario,acabariar
acabas,acabar
acabir,acabar
acabo,acabar
academico,academica
acallada,acallar
acaloradamente,acalorada
acalorado,acalorada
acariciado,acariciar
acaricio,acariciar
acceder,accedar
accedimos,accedar
accidentado,accidente
accion,accionar
acción,accionar
acechante,acechar
acecho,acechar
aceitado,aceitar
aceite,aceitar
acelerado,acelerar
acelerador,acelerar
acentuacion,acentuar
acentuado,acentuar
acentuamos,acentuar
acentuan,acentuar
acepción,acepcion
aceptacion,aceptar
aceptado,aceptar
acepto,aceptar
acera,acer
acerca,acercar
acercado,acercar
acercamiento,acercar
acerco,acercar
acero,acer
acertado,acertar
aciago,aciagar
acido,acida
aclama,aclamar
aclarado,aclar
aclarandome,aclar
aclarar,aclar
aclaro,aclar
acojonado,acojonar
acomoda,acomodar
acomodado,acomodar
acomodir,acomodar
acomodo,acomodar
acompana,acompanar
acompanado,acompanar
acompanamiento,acompanar
acompane,acompanar
acompanir,acompanar
acompano,acompanar
acompán,acompanar
acongojado,acongojar
aconsejable,aconsejar
aconseje,aconsejar
aconsejir,aconsejar
acontecimiento,acontecer
acordado,acordar
acordamos,acordar
acordando,acordar
acordas,acordar
acordate,acordatar
acorde,acordar
acordir,acordar
acordo,acordar
acorralado,acorralar
acoste,acostar
acosto,acostar
acostumbrada,acostumbrar
acostumbrado,acostumbrar
acostumbran,acostumbrar
acostumbrarme,acostumbrar
acostumbrir,acostumbrar
acostumbro,acostumbrar
acotacion,acotar
acotado,acotar
acote,acotar
acoto,acotar
acrobatica,acrobata
activamos,activar
actividad,activar
activista,activar
activo,activar
actua,actuar
actualidad,actual
actualizacion,actualizar
actualizada,actualizar
actualmente,actual
actuan,actuar
actuas,actuar
actue,actuar
actuo,actuar
acumulacion,acumular
acumulado,acumular
acurrucado,acurrucar
acurruco,acurrucar
acusacion,acusar
acusación,acusar
acusandolo,acusar
acuse,acusar
acuso,acusar
adaptacion,adaptar
adaptarme,adaptar
adelantado,adelantar
adelantamiento,adelantar
adelanto,adelantar
adelgazado,adelgazar
ademan,adema
adentro,adentrar
adicción,adiccion
adictivo,adicto
adios,adio
adivina,adivinar
adivinala,adivinalar
adivine,adivinar
adivino,adivinar
adjunto,adjuntar
admirable,admirar
admiracion,admirar
admirado,admirar
admiradora,admirar
adolescencia,adolescente
adolfo,adolf
adoptado,adoptar
adopte,adoptar
adoptivo,adoptar
adopto,adoptar
adorable,adorar
adorador,adorar
adormecido,adormece
adornamos,adorno
adquirido,adquirir
adquirimos,adquirir
adrede,adredir
adulacion,adular
adulo,adular
adulta,adultar
adulto,adultar
advirtio,advirtiir
aereo,aerea
afan,afanar
afane,afanar
afectado,afectar
afecto,afectar
afeitado,afeitar
